iter	Accuracy	Logloss
523	0.9981259265	0.02086951425
524	0.9980699841	0.02076731956
525	0.9981538978	0.02067967086
526	0.9981538978	0.02063523814
527	0.9981259265	0.02061946371
528	0.9981259265	0.02060514778
529	0.9981538978	0.02054648616
530	0.998181869	0.02046379752
531	0.9982098403	0.02040788059
532	0.9982098403	0.02033895266
533	0.9982378115	0.02024930617
534	0.9982378115	0.02019151267
535	0.9982657828	0.02012720308
536	0.9982098403	0.0200498837
537	0.9982098403	0.01996081934
538	0.9982657828	0.01991985047
539	0.998293754	0.01984642867
540	0.998293754	0.01979668121
541	0.998293754	0.01974305309
542	0.998293754	0.01971343534
543	0.998293754	0.01966174539
544	0.998293754	0.01961653275
545	0.998293754	0.01958571491
546	0.9983217253	0.01943098081
547	0.9983217253	0.01937754738
548	0.9983496965	0.01934843205
549	0.9983776678	0.01931166838
550	0.9983496965	0.01925148647
551	0.9983776678	0.01919255059
552	0.9984336102	0.01916105955
553	0.9984615815	0.01907085795
554	0.9984615815	0.01896868324
555	0.9984615815	0.01891643661
556	0.9985734665	0.01881321691
557	0.9986014377	0.01872030848
558	0.998517524	0.01861198784
559	0.998629409	0.0185143211
560	0.998629409	0.01846421163
561	0.998629409	0.01844463276
562	0.9986573802	0.01838342259
563	0.9986853515	0.01835126001
564	0.9986853515	0.01833285514
565	0.9987133227	0.0182855457
566	0.9986853515	0.01825889114
567	0.9987133227	0.01823589911
568	0.9987972364	0.01813205507
569	0.9988252077	0.01808206016
570	0.9988531789	0.01803377134
571	0.9989091214	0.01795511822
572	0.9988811502	0.0179017509
573	0.9989091214	0.01785185406
574	0.9989091214	0.01779378233
575	0.9988811502	0.01775214904
576	0.9989091214	0.01770541867
577	0.9988811502	0.01768739975
578	0.9989091214	0.01767417396
579	0.9989091214	0.01764117488
580	0.9989370927	0.01756355022
581	0.9989091214	0.017518957
582	0.9988531789	0.01745220883
583	0.9988531789	0.0174208417
584	0.9989091214	0.01736905081
585	0.9989091214	0.01735708904
586	0.9989091214	0.01734810266
587	0.9989091214	0.01731882405
588	0.9989091214	0.01721879338
589	0.9989091214	0.01720346847
590	0.9989091214	0.01716055586
591	0.9989650639	0.01709389223
592	0.9989930352	0.01701591224
593	0.9989930352	0.01697546596
594	0.9989930352	0.01692010398
595	0.9990489777	0.01681977428
596	0.9989930352	0.01676620164
597	0.9990489777	0.01673975705
598	0.9989650639	0.0166360675
599	0.9989930352	0.01660062751
600	0.9989370927	0.01656684522
601	0.9989650639	0.01652919203
602	0.9989650639	0.01650362549
603	0.9989650639	0.01647959967
604	0.9989930352	0.01646905296
605	0.9990489777	0.01644252439
606	0.9990489777	0.01643183994
607	0.9990210064	0.01639107461
608	0.9990210064	0.01633791062
609	0.9991328914	0.01630079893
610	0.9991328914	0.01629003433
611	0.9991049201	0.01624271935
612	0.9991049201	0.01620559532
613	0.9991608626	0.01611511988
614	0.9990769489	0.01605915535
615	0.9991328914	0.01598448989
616	0.9991608626	0.01591710275
617	0.9992168051	0.01586180547
618	0.9992168051	0.01583620518
619	0.9991888339	0.01580787081
620	0.9991888339	0.01577419166
621	0.9991888339	0.01574841085
622	0.9991888339	0.0157257318
623	0.9992447764	0.01567563674
624	0.9992168051	0.01564426453
625	0.9992168051	0.01563423335
626	0.9992447764	0.01561969464
627	0.9992447764	0.01559913775
628	0.9992727476	0.01559036619
629	0.9993007189	0.01555846295
630	0.9993286901	0.01552369756
631	0.9993846326	0.01550679908
632	0.9994685463	0.0154671975
633	0.9994685463	0.01544298653
634	0.9994405751	0.01540912522
635	0.9994405751	0.01534916606
636	0.9994405751	0.01533020687
637	0.9994126038	0.01527832364
638	0.9994685463	0.01524297305
639	0.9994685463	0.01522115479
640	0.9994685463	0.01518553199
641	0.9994685463	0.01516068424
642	0.9994965176	0.01510104188
643	0.9994965176	0.01504923259
644	0.9995244888	0.01499473262
645	0.9995804313	0.01492928564
646	0.9995804313	0.01489661282
647	0.9996363738	0.01479736319
648	0.9996363738	0.01474742007
649	0.9996643451	0.0147029929
650	0.9996923163	0.01466334944
651	0.9996923163	0.01465503048
652	0.9996923163	0.01461562706
653	0.9996923163	0.01454654285
654	0.9996643451	0.01448783963
655	0.9996923163	0.01442020816
656	0.9996643451	0.01440834483
657	0.9996643451	0.01430893521
658	0.9996643451	0.01425671396
659	0.9996923163	0.01420487644
660	0.9996923163	0.01419711344
661	0.9996643451	0.01416017447
662	0.9996363738	0.01409544041
663	0.9996363738	0.01400505378
664	0.9996643451	0.01398363625
665	0.9996363738	0.01394436229
666	0.9996643451	0.01393672313
667	0.9996643451	0.01391634547
668	0.9996643451	0.01391630657
669	0.9996923163	0.01390474821
670	0.9996643451	0.01389534991
671	0.9996363738	0.01386437773
672	0.9996363738	0.01383766608
673	0.9996363738	0.01382940595
674	0.9996363738	0.01382901445
675	0.9996363738	0.01381591326
676	0.9996643451	0.01378132988
677	0.9997482588	0.01372050917
678	0.99977623	0.01368381741
679	0.99977623	0.01366089504
680	0.99977623	0.01365308601
681	0.99977623	0.01362076743
682	0.99977623	0.01359247396
683	0.9997482588	0.01353947777
684	0.9998042013	0.01347984511
685	0.9998042013	0.01347009242
686	0.9998042013	0.01345180094
687	0.99977623	0.01340022947
688	0.99977623	0.01335930646
689	0.99977623	0.01334833184
690	0.99977623	0.01334053671
691	0.99977623	0.01333213905
692	0.99977623	0.01329523305
693	0.9998042013	0.01323394801
